# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
4.1353e+00 3.5912e-04 7.2601e-06
4.1449e+00 3.3233e-04 7.0586e-06
4.1545e+00 3.1159e-04 7.0972e-06
4.1640e+00 3.3328e-04 7.2493e-06
4.1735e+00 3.5889e-04 7.2620e-06
4.1830e+00 3.2512e-04 7.1283e-06
4.1925e+00 3.0920e-04 7.3094e-06
4.2019e+00 3.5012e-04 7.6477e-06
4.2114e+00 3.5332e-04 7.7643e-06
4.2208e+00 2.9064e-04 7.3346e-06
4.2301e+00 2.7321e-04 7.0462e-06
4.2395e+00 2.9582e-04 7.1853e-06
4.2488e+00 3.0985e-04 7.3704e-06
4.2581e+00 3.0698e-04 7.3436e-06
4.2674e+00 2.9283e-04 7.4002e-06
4.2767e+00 3.0023e-04 7.4509e-06
4.2859e+00 3.2028e-04 7.5960e-06
4.2952e+00 3.0075e-04 7.5594e-06
4.3044e+00 2.7104e-04 7.3371e-06
4.3136e+00 2.9062e-04 7.4158e-06
4.3227e+00 3.4476e-04 7.8772e-06
4.3319e+00 3.2616e-04 7.8146e-06
4.3410e+00 2.8290e-04 7.6964e-06
4.3501e+00 2.8114e-04 7.5072e-06
4.3592e+00 3.1349e-04 7.8909e-06
4.3682e+00 3.2039e-04 7.8984e-06
4.3773e+00 3.3447e-04 7.7733e-06
4.3863e+00 2.8954e-04 7.9980e-06
4.3953e+00 2.7080e-04 8.0221e-06
4.4043e+00 3.3928e-04 8.1053e-06
4.4132e+00 3.8044e-04 8.5109e-06
4.4222e+00 3.0736e-04 8.1202e-06
4.4311e+00 2.4317e-04 7.9660e-06
4.4400e+00 2.5072e-04 7.9603e-06
4.4489e+00 2.8759e-04 8.0828e-06
4.4578e+00 2.9454e-04 8.1019e-06
4.4666e+00 2.6004e-04 8.0699e-06
4.4754e+00 2.4262e-04 8.1273e-06
4.4843e+00 2.5600e-04 8.5439e-06
4.4930e+00 2.6781e-04 8.2587e-06
4.5018e+00 2.5062e-04 8.0983e-06
4.5106e+00 2.1893e-04 8.2078e-06
4.5193e+00 1.9443e-04 8.0899e-06
4.5280e+00 1.7445e-04 7.7872e-06
4.5367e+00 1.9900e-04 8.0583e-06
4.5454e+00 2.2768e-04 8.2595e-06
4.5541e+00 2.3191e-04 8.3279e-06
4.5627e+00 2.1608e-04 8.2705e-06
4.5714e+00 1.9296e-04 7.8940e-06
4.5800e+00 1.9832e-04 8.1570e-06
4.5886e+00 2.2216e-04 8.4519e-06
4.5971e+00 2.4136e-04 8.5504e-06
4.6057e+00 2.2650e-04 8.5195e-06
4.6143e+00 2.1105e-04 8.5025e-06
4.6228e+00 1.7677e-04 8.5151e-06
4.6313e+00 2.1037e-04 8.5868e-06
4.6398e+00 2.2706e-04 8.9384e-06
4.6483e+00 2.0331e-04 9.1037e-06
4.6567e+00 2.3366e-04 8.8782e-06
4.6652e+00 2.4194e-04 9.0787e-06
4.6736e+00 1.9592e-04 8.7388e-06
4.6820e+00 2.3647e-04 8.9207e-06
4.6904e+00 2.8874e-04 9.3465e-06
4.6988e+00 2.4136e-04 9.1898e-06
4.7071e+00 2.1120e-04 9.1411e-06
4.7155e+00 2.1357e-04 8.9538e-06
4.7238e+00 1.8182e-04 8.8532e-06
4.7321e+00 1.9065e-04 8.9725e-06
4.7404e+00 2.3533e-04 9.3876e-06
4.7487e+00 2.6875e-04 9.6103e-06
4.7570e+00 2.4291e-04 9.3996e-06
4.7652e+00 2.2110e-04 9.2629e-06
4.7734e+00 1.6594e-04 9.2162e-06
