# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
4.6628e+00 9.5526e-04 1.5004e-05
4.6712e+00 9.9140e-04 1.4650e-05
4.6797e+00 8.8629e-04 1.4301e-05
4.6881e+00 9.1655e-04 1.4442e-05
4.6965e+00 9.2173e-04 1.4549e-05
4.7049e+00 8.5085e-04 1.4223e-05
4.7133e+00 7.5854e-04 1.3986e-05
4.7216e+00 7.5256e-04 1.3951e-05
4.7300e+00 7.1406e-04 1.3832e-05
4.7383e+00 7.3706e-04 1.3929e-05
4.7466e+00 7.9736e-04 1.4252e-05
4.7549e+00 8.1046e-04 1.4746e-05
4.7632e+00 7.3031e-04 1.4614e-05
4.7715e+00 7.0827e-04 1.4147e-05
4.7797e+00 6.7854e-04 1.4087e-05
4.7880e+00 6.3152e-04 1.4174e-05
4.7962e+00 7.3363e-04 1.4604e-05
4.8044e+00 8.0754e-04 1.4834e-05
4.8126e+00 7.7547e-04 1.4792e-05
4.8207e+00 7.4041e-04 1.4737e-05
4.8289e+00 7.9474e-04 1.5235e-05
4.8371e+00 7.4660e-04 1.4773e-05
4.8452e+00 7.4528e-04 1.5118e-05
4.8533e+00 7.6879e-04 1.5361e-05
4.8614e+00 8.3537e-04 1.5902e-05
4.8695e+00 8.4670e-04 1.5706e-05
4.8776e+00 8.3805e-04 1.5747e-05
4.8856e+00 8.7991e-04 1.6032e-05
4.8936e+00 8.3316e-04 1.6001e-05
4.9017e+00 8.1368e-04 1.6131e-05
4.9097e+00 8.4738e-04 1.6349e-05
4.9177e+00 8.8832e-04 1.6358e-05
4.9257e+00 8.7802e-04 1.6224e-05
4.9336e+00 8.2807e-04 1.6240e-05
4.9416e+00 8.4750e-04 1.6382e-05
4.9495e+00 8.0159e-04 1.6163e-05
4.9575e+00 6.9676e-04 1.5818e-05
4.9654e+00 8.0264e-04 1.6400e-05
4.9733e+00 9.3012e-04 1.7288e-05
4.9812e+00 9.6890e-04 1.7363e-05
4.9890e+00 9.8374e-04 1.7209e-05
4.9969e+00 9.6559e-04 1.7367e-05
5.0047e+00 9.7161e-04 1.7338e-05
5.0126e+00 8.8523e-04 1.7121e-05
5.0204e+00 7.3162e-04 1.6652e-05
5.0282e+00 7.9273e-04 1.7355e-05
5.0360e+00 9.3680e-04 1.7854e-05
5.0438e+00 9.3924e-04 1.8812e-05
5.0515e+00 1.0068e-03 1.8993e-05
5.0593e+00 9.9212e-04 1.8543e-05
5.0670e+00 1.0465e-03 1.8981e-05
5.0748e+00 1.0383e-03 1.9200e-05
5.0825e+00 8.4168e-04 1.8331e-05
5.0902e+00 9.2484e-04 1.9658e-05
5.0979e+00 1.0328e-03 1.9362e-05
5.1055e+00 9.6215e-04 1.9016e-05
5.1132e+00 8.6870e-04 1.8790e-05
5.1208e+00 9.8631e-04 1.9559e-05
5.1285e+00 8.9913e-04 1.9601e-05
5.1361e+00 7.4068e-04 1.9358e-05
