# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
3.7707e+00 1.1964e-05 1.0620e-06
3.7812e+00 9.5355e-06 1.1351e-06
3.7918e+00 9.8384e-06 1.1873e-06
3.8023e+00 1.3011e-05 1.1092e-06
3.8128e+00 2.1204e-05 1.2213e-06
3.8232e+00 2.6453e-05 1.2781e-06
3.8337e+00 2.7393e-05 1.2076e-06
3.8440e+00 1.4813e-05 1.1561e-06
3.8544e+00 1.2187e-05 1.1499e-06
3.8648e+00 1.8425e-05 1.1780e-06
3.8751e+00 1.8153e-05 1.2467e-06
3.8853e+00 2.1061e-05 1.2804e-06
3.8956e+00 2.3240e-05 1.2934e-06
3.9058e+00 2.3605e-05 1.2338e-06
3.9160e+00 2.5256e-05 1.2650e-06
3.9262e+00 2.5928e-05 1.2876e-06
3.9363e+00 3.1738e-05 1.3950e-06
3.9464e+00 3.4179e-05 1.4195e-06
3.9565e+00 3.5230e-05 1.4192e-06
3.9666e+00 3.9509e-05 1.4964e-06
3.9766e+00 3.5452e-05 1.5122e-06
3.9866e+00 3.9666e-05 1.4613e-06
3.9966e+00 4.6049e-05 1.5019e-06
4.0066e+00 4.2848e-05 1.5039e-06
4.0165e+00 4.6219e-05 1.5592e-06
4.0264e+00 5.1174e-05 1.5503e-06
4.0363e+00 4.9996e-05 1.5371e-06
4.0461e+00 4.9859e-05 1.5575e-06
4.0560e+00 5.7014e-05 1.6016e-06
4.0658e+00 6.0765e-05 1.6766e-06
4.0756e+00 6.1247e-05 1.6379e-06
4.0853e+00 6.7824e-05 1.7140e-06
4.0950e+00 7.2620e-05 1.7796e-06
4.1047e+00 7.2550e-05 1.7792e-06
4.1144e+00 6.8430e-05 1.8337e-06
4.1241e+00 7.6827e-05 1.8575e-06
4.1337e+00 8.9166e-05 1.8944e-06
4.1433e+00 8.5092e-05 1.8877e-06
4.1529e+00 7.3272e-05 1.8220e-06
4.1625e+00 8.1025e-05 1.9218e-06
4.1720e+00 1.0034e-04 2.0653e-06
4.1816e+00 9.5087e-05 2.0403e-06
4.1911e+00 7.7906e-05 1.9120e-06
4.2005e+00 7.3323e-05 1.9468e-06
4.2100e+00 7.0944e-05 1.8964e-06
4.2194e+00 5.7536e-05 1.8589e-06
4.2288e+00 4.5941e-05 1.7750e-06
4.2382e+00 5.4783e-05 1.8581e-06
4.2476e+00 6.6658e-05 1.9346e-06
4.2569e+00 7.3195e-05 1.9630e-06
4.2662e+00 6.6952e-05 1.8617e-06
4.2755e+00 6.5250e-05 1.9408e-06
4.2848e+00 7.5276e-05 1.9574e-06
4.2941e+00 7.4977e-05 1.9862e-06
4.3033e+00 6.9397e-05 1.9644e-06
4.3125e+00 7.0259e-05 2.0254e-06
4.3217e+00 8.7008e-05 2.0691e-06
4.3309e+00 9.7082e-05 2.1345e-06
4.3400e+00 9.2862e-05 2.1548e-06
4.3492e+00 8.9356e-05 2.2203e-06
4.3583e+00 1.0077e-04 2.2780e-06
4.3674e+00 1.1931e-04 2.4385e-06
4.3765e+00 1.2911e-04 2.4859e-06
4.3855e+00 1.1464e-04 2.4199e-06
4.3945e+00 1.0012e-04 2.2840e-06
4.4035e+00 1.1934e-04 2.4908e-06
4.4125e+00 1.4957e-04 2.5925e-06
4.4215e+00 1.3955e-04 2.6279e-06
4.4305e+00 1.0288e-04 2.3955e-06
4.4394e+00 9.9468e-05 2.3604e-06
4.4483e+00 1.1090e-04 2.4377e-06
4.4572e+00 1.1179e-04 2.5324e-06
4.4661e+00 1.0625e-04 2.5006e-06
4.4750e+00 9.5038e-05 2.3657e-06
4.4838e+00 9.0880e-05 2.3591e-06
4.4926e+00 9.0187e-05 2.4217e-06
4.5014e+00 8.6017e-05 2.2647e-06
4.5102e+00 7.9971e-05 2.3231e-06
4.5190e+00 6.5844e-05 2.2510e-06
4.5277e+00 5.3551e-05 2.0567e-06
4.5364e+00 5.5862e-05 2.1730e-06
4.5452e+00 5.3869e-05 2.1501e-06
4.5539e+00 5.0364e-05 2.0908e-06
4.5625e+00 4.6727e-05 2.0658e-06
4.5712e+00 4.4686e-05 2.0500e-06
4.5798e+00 4.1087e-05 2.0764e-06
4.5884e+00 4.1234e-05 2.1358e-06
4.5971e+00 4.1737e-05 2.1091e-06
4.6056e+00 4.2325e-05 2.1041e-06
4.6142e+00 4.2272e-05 2.1990e-06
4.6228e+00 3.9972e-05 2.2338e-06
4.6313e+00 4.3153e-05 2.2090e-06
4.6398e+00 5.9073e-05 2.3765e-06
4.6483e+00 6.0974e-05 2.4343e-06
4.6568e+00 6.3547e-05 2.5370e-06
4.6653e+00 8.2690e-05 2.4821e-06
4.6737e+00 7.4398e-05 2.4931e-06
4.6822e+00 5.9532e-05 2.3763e-06
4.6906e+00 6.5528e-05 2.4824e-06
4.6990e+00 6.8818e-05 2.5237e-06
4.7074e+00 5.7261e-05 2.4573e-06
4.7158e+00 5.0793e-05 2.2736e-06
4.7241e+00 4.5550e-05 2.3021e-06
4.7325e+00 4.5035e-05 2.3765e-06
4.7408e+00 5.2483e-05 2.4572e-06
4.7491e+00 5.8207e-05 2.5378e-06
4.7574e+00 5.8777e-05 2.5218e-06
4.7657e+00 5.2999e-05 2.4347e-06
4.7739e+00 5.4389e-05 2.3874e-06
4.7822e+00 5.0436e-05 2.3113e-06
4.7904e+00 5.0218e-05 2.3585e-06
4.7986e+00 6.5265e-05 2.5829e-06
4.8068e+00 7.0195e-05 2.7838e-06
4.8150e+00 6.1804e-05 2.6694e-06
4.8232e+00 7.0931e-05 2.6354e-06
4.8313e+00 7.6234e-05 2.7637e-06
4.8395e+00 6.5948e-05 2.8033e-06
4.8476e+00 6.0451e-05 2.6636e-06
4.8557e+00 8.2634e-05 2.8074e-06
4.8638e+00 9.7886e-05 2.9082e-06
4.8719e+00 9.9088e-05 2.8722e-06
4.8800e+00 1.0294e-04 2.9727e-06
4.8880e+00 9.4017e-05 2.9701e-06
4.8960e+00 7.1963e-05 2.8681e-06
4.9041e+00 7.7207e-05 2.9925e-06
4.9121e+00 9.4421e-05 2.9573e-06
4.9201e+00 1.1412e-04 3.1831e-06
4.9280e+00 1.1449e-04 3.1158e-06
4.9360e+00 9.0615e-05 3.0478e-06
4.9440e+00 7.5921e-05 2.9658e-06
4.9519e+00 5.9405e-05 2.8724e-06
4.9598e+00 5.2057e-05 2.7857e-06
4.9677e+00 8.5226e-05 2.9789e-06
4.9756e+00 9.4790e-05 3.0856e-06
4.9835e+00 1.0315e-04 3.1448e-06
4.9914e+00 1.1137e-04 3.2124e-06
4.9992e+00 1.0782e-04 3.2142e-06
5.0071e+00 9.8408e-05 2.9933e-06
5.0149e+00 6.6065e-05 3.0713e-06
5.0227e+00 3.8958e-05 2.8874e-06
5.0305e+00 5.0568e-05 3.0769e-06
5.0383e+00 8.7220e-05 3.4622e-06
5.0461e+00 1.1615e-04 3.6791e-06
5.0539e+00 1.2159e-04 3.5869e-06
5.0616e+00 1.2435e-04 3.6841e-06
5.0693e+00 1.2972e-04 3.6930e-06
5.0771e+00 9.7047e-05 3.5317e-06
5.0848e+00 6.3615e-05 3.4128e-06
5.0925e+00 7.4595e-05 3.3905e-06
5.1002e+00 8.2793e-05 3.3480e-06
5.1078e+00 7.7234e-05 3.3232e-06
5.1155e+00 7.7958e-05 3.3853e-06
5.1231e+00 9.0258e-05 3.5158e-06
5.1308e+00 8.1216e-05 3.4916e-06
5.1384e+00 4.7744e-05 3.3934e-06
5.1460e+00 2.4977e-05 3.3185e-06
5.1536e+00 3.7807e-05 3.1414e-06
5.1612e+00 5.9235e-05 3.3416e-06
5.1687e+00 6.9093e-05 3.4756e-06
5.1763e+00 6.5094e-05 3.3602e-06
5.1838e+00 8.0520e-05 3.6005e-06
5.2057e+00 5.8567e-05 1.7432e-07
5.2680e+00 5.0204e-05 1.6187e-07
5.3290e+00 4.5655e-05 1.5222e-07
5.3888e+00 3.6217e-05 1.4298e-07
5.4475e+00 2.5884e-05 1.4968e-07
5.5052e+00 1.9640e-05 1.5317e-07
