# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
5.1789e+00 1.5275e-03 7.3761e-06
5.1864e+00 1.6587e-03 7.6621e-06
5.2278e+00 1.3103e-03 5.3554e-06
5.2897e+00 1.2308e-03 5.0853e-06
5.3505e+00 1.1582e-03 4.9064e-06
5.4100e+00 9.8577e-04 4.6583e-06
5.4685e+00 8.8547e-04 4.5761e-06
5.5259e+00 7.6206e-04 4.3665e-06
5.5824e+00 7.4040e-04 4.3711e-06
5.6381e+00 6.9921e-04 4.2927e-06
5.6928e+00 6.7937e-04 4.3429e-06
5.7468e+00 6.2603e-04 4.2356e-06
5.8000e+00 6.2166e-04 3.6935e-06
5.8523e+00 5.7855e-04 2.9043e-06
5.9038e+00 5.7015e-04 2.5536e-06
5.9547e+00 6.0815e-04 2.6120e-06
6.0048e+00 6.4914e-04 3.3439e-06
6.0543e+00 6.2504e-04 3.5132e-06
6.1030e+00 6.7953e-04 2.8670e-06
6.1511e+00 7.7719e-04 2.8853e-06
6.1985e+00 8.4732e-04 2.9788e-06
6.2455e+00 7.4415e-04 2.8533e-06
6.2917e+00 8.2789e-04 3.2210e-06
6.3374e+00 7.5081e-04 2.8975e-06
6.3826e+00 7.2126e-04 2.8881e-06
6.4273e+00 5.9703e-04 2.6676e-06
6.4714e+00 4.9220e-04 2.6354e-06
6.5152e+00 4.7053e-04 2.6080e-06
6.5584e+00 4.8963e-04 2.6802e-06
6.6013e+00 4.6960e-04 2.7276e-06
6.6437e+00 5.0801e-04 2.8264e-06
6.6857e+00 5.6219e-04 2.8663e-06
6.7274e+00 6.0649e-04 2.9921e-06
6.7688e+00 5.1950e-04 2.9335e-06
6.8098e+00 6.3242e-04 2.8635e-06
6.8504e+00 4.9952e-04 3.2681e-06
6.8907e+00 6.3258e-04 3.1920e-06
6.9308e+00 6.0401e-04 3.0429e-06
6.9705e+00 6.7355e-04 3.1474e-06
7.0097e+00 6.3485e-04 3.0844e-06
7.0488e+00 6.1979e-04 3.0769e-06
7.0875e+00 5.8351e-04 3.0380e-06
7.1260e+00 5.7390e-04 3.1590e-06
7.1641e+00 5.4180e-04 3.0242e-06
7.2019e+00 4.8247e-04 3.0324e-06
7.2395e+00 4.5400e-04 3.0115e-06
7.2767e+00 4.4550e-04 2.9899e-06
7.3136e+00 4.4501e-04 2.9305e-06
7.3503e+00 4.2420e-04 2.9496e-06
7.3867e+00 3.8808e-04 2.9140e-06
7.4228e+00 3.9417e-04 2.9744e-06
7.4587e+00 4.1006e-04 3.0164e-06
7.4942e+00 4.1963e-04 3.1004e-06
7.5296e+00 4.6380e-04 3.1439e-06
7.5646e+00 5.0671e-04 3.3950e-06
7.5995e+00 5.0759e-04 3.2270e-06
7.6341e+00 4.5456e-04 3.0015e-06
7.6684e+00 3.8102e-04 2.9743e-06
7.7025e+00 3.3052e-04 3.0506e-06
7.7364e+00 3.6578e-04 3.0466e-06
7.7701e+00 3.8785e-04 3.1590e-06
7.8035e+00 4.1368e-04 3.2064e-06
7.8366e+00 4.8183e-04 3.4025e-06
7.8697e+00 4.8836e-04 3.4169e-06
7.9024e+00 4.9915e-04 3.5646e-06
7.9350e+00 5.5216e-04 3.5194e-06
7.9674e+00 5.3072e-04 3.5660e-06
7.9995e+00 5.5335e-04 3.6634e-06
8.0315e+00 5.8778e-04 3.6584e-06
8.0633e+00 5.4044e-04 3.6927e-06
8.0949e+00 5.7195e-04 3.8800e-06
8.1264e+00 6.2993e-04 3.9322e-06
8.1576e+00 6.0288e-04 3.8832e-06
8.1887e+00 5.6282e-04 3.6027e-06
8.2196e+00 6.1860e-04 4.0170e-06
8.2504e+00 6.6704e-04 4.0351e-06
8.2809e+00 7.6848e-04 3.9248e-06
8.3114e+00 6.4305e-04 4.1300e-06
8.3416e+00 7.3835e-04 4.2605e-06
8.3718e+00 7.5962e-04 4.3086e-06
8.4018e+00 8.0110e-04 4.4207e-06
8.4317e+00 8.3503e-04 4.4595e-06
8.4615e+00 8.1026e-04 4.6224e-06
8.4910e+00 8.1813e-04 4.6845e-06
8.5205e+00 8.6206e-04 4.7946e-06
8.5498e+00 9.0488e-04 4.8666e-06
8.5790e+00 9.2515e-04 4.8870e-06
8.6081e+00 1.0061e-03 4.9342e-06
8.6369e+00 1.0400e-03 5.0748e-06
8.6658e+00 1.0222e-03 5.3309e-06
8.6945e+00 1.0437e-03 5.4106e-06
8.7229e+00 1.0632e-03 5.4636e-06
8.7514e+00 1.0802e-03 5.4704e-06
8.7797e+00 1.0401e-03 5.4641e-06
8.8078e+00 1.0632e-03 5.5870e-06
8.8358e+00 1.1150e-03 5.5112e-06
8.8637e+00 1.1280e-03 5.8289e-06
8.8915e+00 1.1987e-03 5.8378e-06
8.9191e+00 1.1694e-03 5.9160e-06
8.9467e+00 1.1772e-03 5.9801e-06
8.9741e+00 1.1902e-03 6.0813e-06
9.0014e+00 1.2459e-03 6.1121e-06
9.0285e+00 1.2278e-03 6.2572e-06
9.0556e+00 1.2484e-03 6.1219e-06
9.0825e+00 1.2904e-03 6.3020e-06
9.1093e+00 1.3644e-03 5.0251e-06
9.1360e+00 1.3160e-03 6.5075e-06
9.1626e+00 1.3023e-03 6.5592e-06
9.1890e+00 1.3579e-03 6.6650e-06
9.2154e+00 1.3796e-03 6.7741e-06
9.2416e+00 1.4800e-03 6.8839e-06
9.2678e+00 1.4756e-03 6.9902e-06
9.2938e+00 1.3684e-03 6.9525e-06
9.3197e+00 1.2485e-03 7.0593e-06
9.3455e+00 1.4761e-03 7.4709e-06
9.3712e+00 1.5299e-03 7.1053e-06
9.3968e+00 1.4323e-03 7.2140e-06
9.4223e+00 1.4574e-03 7.1450e-06
