# Wavelength(micron)	Flux(Jy)	Flux_error(Jy)
5.1226e+00 2.3080e-04 1.2708e-05
5.1302e+00 1.5382e-04 1.2071e-05
5.1378e+00 1.1632e-04 1.1986e-05
5.1454e+00 1.1079e-04 1.2010e-05
5.1530e+00 1.3583e-04 1.1980e-05
5.1605e+00 1.6115e-04 1.2363e-05
5.1681e+00 1.8088e-04 1.2693e-05
5.1756e+00 2.1323e-04 1.2597e-05
5.1831e+00 2.1755e-04 1.2949e-05
5.2271e+00 1.6548e-04 5.8250e-07
5.2891e+00 1.4798e-04 5.5814e-07
5.3498e+00 1.3615e-04 5.3956e-07
5.4093e+00 1.0994e-04 5.0771e-07
5.4678e+00 9.1432e-05 4.9863e-07
5.5252e+00 8.3685e-05 4.9233e-07
5.5818e+00 7.0666e-05 4.7362e-07
5.6374e+00 6.3578e-05 4.6277e-07
5.6922e+00 5.7692e-05 4.5368e-07
5.7462e+00 5.5585e-05 4.3455e-07
5.7993e+00 5.5739e-05 4.6069e-07
5.8517e+00 5.1933e-05 4.6867e-07
5.9033e+00 4.8638e-05 4.7830e-07
5.9542e+00 5.1413e-05 4.6687e-07
6.0043e+00 5.6935e-05 5.1833e-07
6.0537e+00 5.7610e-05 4.8215e-07
6.1025e+00 5.9830e-05 5.2322e-07
6.1507e+00 6.5891e-05 5.3136e-07
6.1981e+00 7.7842e-05 5.6445e-07
6.2450e+00 9.5124e-05 5.8186e-07
6.2913e+00 1.0717e-04 6.2224e-07
6.3370e+00 9.4483e-05 6.0019e-07
6.3822e+00 7.0859e-05 5.6538e-07
6.4269e+00 5.1974e-05 5.2937e-07
6.5580e+00 4.1179e-05 5.3170e-07
6.6009e+00 4.3347e-05 5.3929e-07
6.6433e+00 4.9465e-05 5.7353e-07
6.6853e+00 5.6207e-05 6.1852e-07
6.7271e+00 6.1870e-05 6.1392e-07
6.7685e+00 6.4353e-05 6.2870e-07
6.8095e+00 6.6689e-05 6.2748e-07
6.8501e+00 6.5761e-05 6.0869e-07
6.8904e+00 7.3955e-05 6.8551e-07
6.9305e+00 8.1641e-05 7.2479e-07
6.9702e+00 7.9220e-05 6.9443e-07
7.0096e+00 7.6973e-05 6.7501e-07
7.0486e+00 7.5505e-05 7.0060e-07
7.0874e+00 7.8128e-05 7.0520e-07
7.1258e+00 7.2436e-05 7.3646e-07
7.1639e+00 6.5731e-05 6.9791e-07
7.2017e+00 5.9666e-05 7.0555e-07
7.2393e+00 5.6676e-05 6.9040e-07
7.2765e+00 5.3492e-05 6.9205e-07
7.3135e+00 4.9045e-05 6.8765e-07
7.3501e+00 4.3124e-05 7.0057e-07
7.3865e+00 3.9033e-05 7.0408e-07
7.4227e+00 3.9009e-05 7.0002e-07
7.4585e+00 4.1342e-05 7.0905e-07
7.4942e+00 4.6707e-05 7.3765e-07
7.5295e+00 5.2524e-05 7.4192e-07
7.5646e+00 5.7307e-05 7.4614e-07
7.5994e+00 5.8420e-05 7.6293e-07
7.6341e+00 5.2812e-05 7.4168e-07
7.6684e+00 4.1707e-05 7.3602e-07
7.7025e+00 3.5528e-05 7.3157e-07
7.7363e+00 3.8937e-05 7.4630e-07
7.7700e+00 4.1721e-05 7.6759e-07
7.8034e+00 4.8035e-05 7.7867e-07
7.8367e+00 5.2670e-05 8.1926e-07
7.8697e+00 5.1767e-05 8.4309e-07
7.9024e+00 5.5136e-05 8.2182e-07
7.9350e+00 5.5628e-05 8.2702e-07
7.9674e+00 6.4347e-05 8.6325e-07
7.9996e+00 6.1228e-05 8.4709e-07
8.0315e+00 6.1126e-05 8.8538e-07
8.0634e+00 6.2413e-05 9.0842e-07
8.0950e+00 6.8559e-05 9.2691e-07
8.1264e+00 7.9102e-05 9.5441e-07
8.1577e+00 7.9674e-05 1.0077e-06
8.1888e+00 7.8380e-05 9.7329e-07
8.2197e+00 8.0853e-05 1.0130e-06
8.2505e+00 9.0233e-05 1.0483e-06
8.2810e+00 9.5686e-05 1.0150e-06
8.3115e+00 9.7351e-05 1.0871e-06
8.3418e+00 1.0340e-04 1.0954e-06
8.3719e+00 1.0548e-04 1.1193e-06
8.4020e+00 1.1272e-04 1.1312e-06
8.4319e+00 1.2280e-04 1.1418e-06
8.4616e+00 1.2425e-04 1.1702e-06
8.4912e+00 1.2702e-04 1.1606e-06
8.5207e+00 1.3100e-04 1.1896e-06
8.5500e+00 1.4046e-04 1.2205e-06
8.5792e+00 1.4866e-04 1.2355e-06
8.6083e+00 1.4835e-04 1.2449e-06
8.6372e+00 1.5113e-04 1.2773e-06
8.6660e+00 1.6003e-04 1.3057e-06
8.6947e+00 1.6811e-04 1.3437e-06
8.7233e+00 1.7301e-04 1.3642e-06
8.7516e+00 1.7740e-04 1.3831e-06
8.7799e+00 1.6993e-04 1.3122e-06
8.8081e+00 1.7277e-04 1.3932e-06
8.8361e+00 1.8102e-04 1.4048e-06
8.8640e+00 1.9477e-04 1.4727e-06
8.8918e+00 1.9312e-04 1.4600e-06
8.9194e+00 1.8492e-04 1.4875e-06
8.9470e+00 1.7896e-04 1.4801e-06
8.9744e+00 1.8501e-04 1.5107e-06
9.0017e+00 1.9266e-04 1.5198e-06
9.0288e+00 1.9600e-04 1.5461e-06
9.0559e+00 2.0058e-04 1.5546e-06
9.0828e+00 2.0199e-04 1.7216e-06
9.1097e+00 2.0199e-04 1.5026e-06
9.1364e+00 2.0078e-04 1.6218e-06
9.1630e+00 1.9178e-04 1.6235e-06
9.1895e+00 2.0649e-04 1.6757e-06
9.2158e+00 2.1303e-04 1.7361e-06
9.2421e+00 2.2850e-04 1.7102e-06
